# p_over_P_Cubic  fidelity_Cubic  p_over_P_DCQO  fidelity_DCQO  p_over_P_DCQO_noCD  fidelity_DCQO_noCD  p_over_P_QAOA_dCRAB  fidelity_QAOA_dCRAB  p_over_P_DC_QAOA_dCRAB  fidelity_DC_QAOA_dCRAB
7.9629629629629628e-01 3.3072876297926873e-01 7.9629629629629628e-01 3.6078245981431867e-01 5.3086419753086422e-01 2.8738977870259175e-01 5.3086419753086422e-01 2.9822724884326690e-01 7.9629629629629628e-01 1.0599027068974162e-04
8.1481481481481477e-01 3.2604844846583708e-01 8.1481481481481477e-01 3.7927357334237788e-01 5.4320987654320985e-01 2.9371390349802123e-01 5.4320987654320985e-01 1.9610204981694834e-01 8.1481481481481477e-01 7.0120175694957316e-04
8.3333333333333337e-01 3.2981791680286071e-01 8.3333333333333337e-01 4.0333052614452125e-01 5.5555555555555558e-01 2.9765224698279125e-01 5.5555555555555558e-01 1.1703603043191804e-01 8.3333333333333337e-01 4.9267661846258666e-03
8.5185185185185186e-01 3.3553000227060947e-01 8.5185185185185186e-01 4.3635850940985621e-01 5.6790123456790120e-01 2.9516246239173205e-01 5.6790123456790120e-01 7.6876207875140101e-02 8.5185185185185186e-01 2.4775004497241602e-02
8.7037037037037035e-01 3.3391901743038621e-01 8.7037037037037035e-01 4.8819758160957383e-01 5.8024691358024694e-01 2.8973382863853853e-01 5.8024691358024694e-01 5.4799835094035597e-02 8.7037037037037035e-01 9.3344994243054660e-02
8.8888888888888884e-01 3.4264857664657367e-01 8.8888888888888884e-01 5.4502782964355345e-01 5.9259259259259256e-01 2.8869094930360595e-01 5.9259259259259256e-01 4.7144037630817134e-02 8.8888888888888884e-01 2.1905749083711029e-01
9.0740740740740744e-01 3.4033510717950211e-01 9.0740740740740744e-01 6.0601286237716012e-01 6.0493827160493829e-01 2.8738050987514990e-01 6.0493827160493829e-01 5.1049315450260022e-02 9.0740740740740744e-01 3.7499620661254157e-01
9.2592592592592593e-01 3.4259931605870519e-01 9.2592592592592593e-01 6.7272398439813785e-01 6.1728395061728392e-01 2.8415881192206260e-01 6.1728395061728392e-01 6.0822607706565258e-02 9.2592592592592593e-01 5.6544654853478094e-01
9.4444444444444442e-01 3.4393429111514784e-01 9.4444444444444442e-01 6.2054304436448304e-01 6.2962962962962965e-01 2.7521992598367018e-01 6.2962962962962965e-01 7.3464334079870491e-02 9.4444444444444442e-01 7.8145987603828260e-01
9.6296296296296291e-01 3.4321309834964608e-01 9.6296296296296291e-01 6.3960701732228675e-01 6.4197530864197527e-01 2.5956391487864433e-01 6.4197530864197527e-01 5.9970331466649672e-02 9.6296296296296291e-01 9.3862648534596771e-01
